coin,market_cap_percentage,timestamp,date,time
usdc,2.687175800813306,2022-03-01 09:43:48,2022-03-01,09:43:48
xrp,1.850436353560087,2022-03-01 09:43:48,2022-03-01,09:43:48
luna,1.6786381623170916,2022-03-01 09:43:48,2022-03-01,09:43:48
ada,1.5489133572482745,2022-03-01 09:43:48,2022-03-01,09:43:48
sol,1.5377853594601734,2022-03-01 09:43:48,2022-03-01,09:43:48
avax,1.0641365944560288,2022-03-01 09:43:48,2022-03-01,09:43:48
btc,41.236766507257016,2022-03-01 09:53:51,2022-03-01,09:53:51
eth,17.447626850470357,2022-03-01 09:53:51,2022-03-01,09:53:51
usdt,4.002681085489391,2022-03-01 09:53:51,2022-03-01,09:53:51
bnb,3.4396202696530875,2022-03-01 09:53:51,2022-03-01,09:53:51
usdc,2.690637897407124,2022-03-01 09:53:51,2022-03-01,09:53:51
xrp,1.8504092939648809,2022-03-01 09:53:51,2022-03-01,09:53:51
luna,1.6919839605513451,2022-03-01 09:53:51,2022-03-01,09:53:51
ada,1.5458757935047511,2022-03-01 09:53:51,2022-03-01,09:53:51
sol,1.5431524934669965,2022-03-01 09:53:51,2022-03-01,09:53:51
avax,1.0611006859885408,2022-03-01 09:53:51,2022-03-01,09:53:51
btc,41.2558923733708,2022-03-01 10:03:53,2022-03-01,10:03:53
eth,17.431476638714372,2022-03-01 10:03:53,2022-03-01,10:03:53
usdt,3.997008767630612,2022-03-01 10:03:53,2022-03-01,10:03:53
bnb,3.433905636143208,2022-03-01 10:03:53,2022-03-01,10:03:53
usdc,2.6920761045998955,2022-03-01 10:03:53,2022-03-01,10:03:53
xrp,1.8478652938976232,2022-03-01 10:03:53,2022-03-01,10:03:53
luna,1.7040330038753988,2022-03-01 10:03:53,2022-03-01,10:03:53
sol,1.5458542117320302,2022-03-01 10:03:53,2022-03-01,10:03:53
ada,1.5442613317511589,2022-03-01 10:03:53,2022-03-01,10:03:53
avax,1.0567804579315905,2022-03-01 10:03:53,2022-03-01,10:03:53
btc,41.25573673102066,2022-03-01 10:13:56,2022-03-01,10:13:56
eth,17.431410876569032,2022-03-01 10:13:56,2022-03-01,10:13:56
usdt,3.996993688479433,2022-03-01 10:13:56,2022-03-01,10:13:56
bnb,3.433892681359961,2022-03-01 10:13:56,2022-03-01,10:13:56
usdc,2.6920659484494025,2022-03-01 10:13:56,2022-03-01,10:13:56
xrp,1.8478583226244176,2022-03-01 10:13:56,2022-03-01,10:13:56
luna,1.7040265752251826,2022-03-01 10:13:56,2022-03-01,10:13:56
sol,1.5458483798285458,2022-03-01 10:13:56,2022-03-01,10:13:56
ada,1.5442555058569876,2022-03-01 10:13:56,2022-03-01,10:13:56
avax,1.0567764711121426,2022-03-01 10:13:56,2022-03-01,10:13:56
btc,41.26892383555054,2022-03-01 10:34:05,2022-03-01,10:34:05
eth,17.411039064385665,2022-03-01 10:34:05,2022-03-01,10:34:05
usdt,4.01618096336841,2022-03-01 10:34:05,2022-03-01,10:34:05
bnb,3.4347159757498185,2022-03-01 10:34:05,2022-03-01,10:34:05
usdc,2.6959348990383543,2022-03-01 10:34:05,2022-03-01,10:34:05
xrp,1.8482137681320256,2022-03-01 10:34:05,2022-03-01,10:34:05
luna,1.7298632924482322,2022-03-01 10:34:05,2022-03-01,10:34:05
sol,1.551849406220507,2022-03-01 10:34:05,2022-03-01,10:34:05
ada,1.537365344105458,2022-03-01 10:34:05,2022-03-01,10:34:05
avax,1.054029501325746,2022-03-01 10:34:05,2022-03-01,10:34:05
btc,41.24411279291006,2022-03-01 10:44:09,2022-03-01,10:44:09
eth,17.40554470781484,2022-03-01 10:44:09,2022-03-01,10:44:09
usdt,4.012497884176821,2022-03-01 10:44:09,2022-03-01,10:44:09
bnb,3.4413526161313914,2022-03-01 10:44:09,2022-03-01,10:44:09
usdc,2.694267812632294,2022-03-01 10:44:09,2022-03-01,10:44:09
xrp,1.848243360862572,2022-03-01 10:44:09,2022-03-01,10:44:09
luna,1.75542575314275,2022-03-01 10:44:09,2022-03-01,10:44:09
sol,1.5574387375474672,2022-03-01 10:44:09,2022-03-01,10:44:09
ada,1.5373374841241845,2022-03-01 10:44:09,2022-03-01,10:44:09
avax,1.058060724345696,2022-03-01 10:44:09,2022-03-01,10:44:09
btc,41.2595591218623,2022-03-01 11:14:16,2022-03-01,11:14:16
eth,17.45738352592225,2022-03-01 11:14:16,2022-03-01,11:14:16
usdt,3.97666346774732,2022-03-01 11:14:16,2022-03-01,11:14:16
bnb,3.4367230103202973,2022-03-01 11:14:16,2022-03-01,11:14:16
usdc,2.673540082688296,2022-03-01 11:14:16,2022-03-01,11:14:16
xrp,1.852316587602164,2022-03-01 11:14:16,2022-03-01,11:14:16
luna,1.7578206058916128,2022-03-01 11:14:16,2022-03-01,11:14:16
sol,1.5579221999817257,2022-03-01 11:14:16,2022-03-01,11:14:16
ada,1.5403155520012135,2022-03-01 11:14:16,2022-03-01,11:14:16
avax,1.055635402869002,2022-03-01 11:14:16,2022-03-01,11:14:16
btc,41.43276175601467,2022-03-01 12:24:37,2022-03-01,12:24:37
eth,17.378979291075712,2022-03-01 12:24:37,2022-03-01,12:24:37
usdt,3.9707276993176346,2022-03-01 12:24:37,2022-03-01,12:24:37
bnb,3.3942703501597484,2022-03-01 12:24:37,2022-03-01,12:24:37
usdc,2.6612571730376606,2022-03-01 12:24:37,2022-03-01,12:24:37
xrp,1.8458357489239388,2022-03-01 12:24:37,2022-03-01,12:24:37
luna,1.7354795003109946,2022-03-01 12:24:37,2022-03-01,12:24:37
sol,1.561350867629094,2022-03-01 12:24:37,2022-03-01,12:24:37
ada,1.5381706618178372,2022-03-01 12:24:37,2022-03-01,12:24:37
avax,1.0588596687941143,2022-03-01 12:24:37,2022-03-01,12:24:37
btc,41.4839704859285,2022-03-01 12:34:39,2022-03-01,12:34:39
eth,17.402072025814356,2022-03-01 12:34:39,2022-03-01,12:34:39
usdt,3.937304392059281,2022-03-01 12:34:39,2022-03-01,12:34:39
bnb,3.3944974036762603,2022-03-01 12:34:39,2022-03-01,12:34:39
usdc,2.64470168632592,2022-03-01 12:34:39,2022-03-01,12:34:39
xrp,1.8516778951600013,2022-03-01 12:34:39,2022-03-01,12:34:39
luna,1.7240617846831638,2022-03-01 12:34:39,2022-03-01,12:34:39
sol,1.565204864239341,2022-03-01 12:34:39,2022-03-01,12:34:39
ada,1.5387788390281965,2022-03-01 12:34:39,2022-03-01,12:34:39
avax,1.0642073387893272,2022-03-01 12:34:39,2022-03-01,12:34:39
btc,41.57574643818643,2022-03-01 12:44:42,2022-03-01,12:44:42
eth,17.380077844824623,2022-03-01 12:44:42,2022-03-01,12:44:42
usdt,3.933647323535329,2022-03-01 12:44:42,2022-03-01,12:44:42
bnb,3.388517384824424,2022-03-01 12:44:42,2022-03-01,12:44:42
usdc,2.65044154993802,2022-03-01 12:44:42,2022-03-01,12:44:42
xrp,1.8425080950810464,2022-03-01 12:44:42,2022-03-01,12:44:42
luna,1.7191136486020342,2022-03-01 12:44:42,2022-03-01,12:44:42
sol,1.5587080907764406,2022-03-01 12:44:42,2022-03-01,12:44:42
ada,1.5292785434555878,2022-03-01 12:44:42,2022-03-01,12:44:42
avax,1.0624198285101996,2022-03-01 12:44:42,2022-03-01,12:44:42
btc,41.6370287004778,2022-03-01 13:04:47,2022-03-01,13:04:47
eth,17.367535512788905,2022-03-01 13:04:47,2022-03-01,13:04:47
usdt,3.9203967895187946,2022-03-01 13:04:47,2022-03-01,13:04:47
bnb,3.389211031743531,2022-03-01 13:04:47,2022-03-01,13:04:47
usdc,2.637212116762472,2022-03-01 13:04:47,2022-03-01,13:04:47
xrp,1.841775066082767,2022-03-01 13:04:47,2022-03-01,13:04:47
luna,1.7148209323173491,2022-03-01 13:04:47,2022-03-01,13:04:47
sol,1.5544307122499628,2022-03-01 13:04:47,2022-03-01,13:04:47
ada,1.5268484396309538,2022-03-01 13:04:47,2022-03-01,13:04:47
avax,1.0706068960310278,2022-03-01 13:04:47,2022-03-01,13:04:47
btc,41.62545334148534,2022-03-01 13:14:50,2022-03-01,13:14:50
eth,17.401500468040794,2022-03-01 13:14:50,2022-03-01,13:14:50
usdt,3.9132426833800418,2022-03-01 13:14:50,2022-03-01,13:14:50
bnb,3.384716844751993,2022-03-01 13:14:50,2022-03-01,13:14:50
usdc,2.632023317189638,2022-03-01 13:14:50,2022-03-01,13:14:50
xrp,1.8413613813055765,2022-03-01 13:14:50,2022-03-01,13:14:50
luna,1.7099937577342263,2022-03-01 13:14:50,2022-03-01,13:14:50
sol,1.554698885767,2022-03-01 13:14:50,2022-03-01,13:14:50
ada,1.5257559751587424,2022-03-01 13:14:50,2022-03-01,13:14:50
avax,1.072420034807264,2022-03-01 13:14:50,2022-03-01,13:14:50
btc,41.58320768059586,2022-03-01 13:24:53,2022-03-01,13:24:53
eth,17.465225517494066,2022-03-01 13:24:53,2022-03-01,13:24:53
usdt,3.900806142422056,2022-03-01 13:24:53,2022-03-01,13:24:53
bnb,3.3823307069580046,2022-03-01 13:24:53,2022-03-01,13:24:53
usdc,2.6193140505264334,2022-03-01 13:24:53,2022-03-01,13:24:53
xrp,1.8372022652952107,2022-03-01 13:24:53,2022-03-01,13:24:53
luna,1.692724853525439,2022-03-01 13:24:53,2022-03-01,13:24:53
sol,1.5614304649206043,2022-03-01 13:24:53,2022-03-01,13:24:53
ada,1.5267060688691885,2022-03-01 13:24:53,2022-03-01,13:24:53
avax,1.074591186031662,2022-03-01 13:24:53,2022-03-01,13:24:53
btc,41.48671722042068,2022-03-01 13:44:58,2022-03-01,13:44:58
eth,17.538988546343344,2022-03-01 13:44:58,2022-03-01,13:44:58
usdt,3.9035057327001423,2022-03-01 13:44:58,2022-03-01,13:44:58
bnb,3.3759915448745543,2022-03-01 13:44:58,2022-03-01,13:44:58
usdc,2.618330774349927,2022-03-01 13:44:58,2022-03-01,13:44:58
xrp,1.8409835360837608,2022-03-01 13:44:58,2022-03-01,13:44:58
luna,1.676882804363617,2022-03-01 13:44:58,2022-03-01,13:44:58
sol,1.5889377853565083,2022-03-01 13:44:58,2022-03-01,13:44:58
ada,1.5357999454192743,2022-03-01 13:44:58,2022-03-01,13:44:58
avax,1.072621308226981,2022-03-01 13:44:58,2022-03-01,13:44:58
btc,41.41735905099006,2022-03-01 13:55:02,2022-03-01,13:55:02
eth,17.59895915877945,2022-03-01 13:55:02,2022-03-01,13:55:02
usdt,3.89970895615335,2022-03-01 13:55:02,2022-03-01,13:55:02
bnb,3.37891011615712,2022-03-01 13:55:02,2022-03-01,13:55:02
usdc,2.620740196778537,2022-03-01 13:55:02,2022-03-01,13:55:02
xrp,1.8423296395280264,2022-03-01 13:55:02,2022-03-01,13:55:02
luna,1.6744164092287743,2022-03-01 13:55:02,2022-03-01,13:55:02
